season,week,optimal_score,lineup_efficiency,team_score,opponent_score,optimal_opponent_score,result,opponent_id,allplay_wins,allplay_games,allplay_pct,roster_id,optimal_player_id,optimal_player_score,gameweek,manager,points,points_opponent,win,all_play,pp_points,pp_points_opponent,pp_win,selected_pts,selected_win,selected_all_play,selected_pp,selected_pp_opponent,selected_pp_win,nxt_wk_win,league
1,3,96.44,0.698,67.34,78.36,117.1,L,7,1.0,11,0.091,8,"['2374', '2747', '3163', '5859', '7553', '8143', '8151']","[np.float64(12.8), np.float64(7.0), np.float64(25.04), np.float64(21.6), np.float64(3.8), np.float64(9.1), np.float64(17.1)]",3,mikepearson,81.38,120.14,0.0,3.0,89.58,152.74,0.0,81.38,0.0,3.0,89.58,152.74,0.0,0.0,Across The Pond
1,3,86.44,0.788,68.09,119.46,147.12,L,1,2.0,11,0.182,9,"['2020', '4217', '4984', '5892', '6783', '7564', '7594']","[np.float64(5.0), np.float64(3.5), np.float64(18.54), np.float64(21.1), np.float64(12.8), np.float64(11.8), np.float64(13.7)]",3,benturvill61,131.12,65.98,1.0,11.0,167.12,91.72,1.0,131.12,1.0,11.0,167.12,91.72,1.0,0.0,Across The Pond
1,3,109.72,0.77,84.46,99.87,139.20000000000002,L,3,6.0,11,0.545,10,"['10235', '1466', '1479', '4034', '4046', '4666', '6943']","[np.float64(17.0), np.float64(9.8), np.float64(23.3), np.float64(22.7), np.float64(14.42), np.float64(6.0), np.float64(16.5)]",3,skjowitt,58.8,87.84,0.0,0.0,89.5,117.94,0.0,58.8,0.0,0.0,89.5,117.94,0.0,0.0,Across The Pond
1,3,80.16,0.798,64.0,72.09,94.25999999999999,L,2,0.0,11,0.0,11,"['1264', '4066', '5937', '6770', '7021', '8136', '9502']","[np.float64(4.0), np.float64(13.4), np.float64(17.9), np.float64(20.26), np.float64(10.2), np.float64(8.2), np.float64(6.2)]",3,Dominichudson1986,76.46,93.3,0.0,2.0,88.96,106.19999999999999,0.0,76.46,0.0,2.0,88.96,106.19999999999999,0.0,0.0,Across The Pond
1,3,106.22,0.849,90.15,69.73,86.62,W,5,9.0,11,0.818,12,"['11637', '4983', '5850', '6768', '6945', '7839', '8110']","[np.float64(11.8), np.float64(23.3), np.float64(16.5), np.float64(25.92), np.float64(11.5), np.float64(4.0), np.float64(13.2)]",3,jhh82,122.46,97.88,1.0,9.0,143.76,116.38000000000001,1.0,122.46,1.0,9.0,143.76,116.38000000000001,1.0,0.0,Across The Pond
1,4,108.4,0.819,88.82,58.34,71.62,W,10,5.0,11,0.455,1,"['11533', '4035', '4098', '5012', '7591', '8137', '9493']","[np.float64(14.0), np.float64(27.4), np.float64(15.2), np.float64(1.2), np.float64(17.3), np.float64(18.4), np.float64(14.9)]",4,msouthwell,100.98,94.5,1.0,5.0,128.57999999999998,105.56,1.0,100.98,1.0,5.0,128.57999999999998,105.56,1.0,0.0,Across The Pond
1,4,126.52,0.757,95.74,68.62,88.88,W,3,9.0,11,0.818,2,"['11604', '4227', '4988', '5947', '6794', '6797', '8408']","[np.float64(6.8), np.float64(9.0), np.float64(18.0), np.float64(12.2), np.float64(33.0), np.float64(26.72), np.float64(20.8)]",4,Newty51,141.3,110.1,1.0,11.0,147.0,113.69999999999999,1.0,141.3,1.0,11.0,147.0,113.69999999999999,1.0,0.0,Across The Pond
1,4,88.88,0.772,68.62,95.74,126.52,L,2,3.0,11,0.273,3,"['10236', '11575', '2309', '3451', '6904', '8154', '9488']","[np.float64(13.0), np.float64(13.6), np.float64(7.3), np.float64(10.0), np.float64(21.88), np.float64(12.5), np.float64(10.6)]",4,TenAndJerry,110.1,141.3,0.0,8.0,113.69999999999999,147.0,0.0,110.1,0.0,8.0,113.69999999999999,147.0,0.0,0.0,Across The Pond
1,4,111.2,0.828,92.06,91.1,124.38,W,8,7.0,11,0.636,4,"['5133', '7042', '7526', '8148', '8230', '9229', '9509']","[np.float64(9.9), np.float64(6.0), np.float64(18.3), np.float64(20.7), np.float64(9.0), np.float64(30.1), np.float64(17.2)]",4,DanCoulton,82.32,123.52000000000001,0.0,2.0,104.92,160.28,0.0,82.32,0.0,2.0,104.92,160.28,0.0,0.0,Across The Pond
1,4,135.5,0.733,99.39,52.35,70.34,W,7,10.0,11,0.909,5,"['10937', '3214', '5846', '5849', '6790', '8134', '8155']","[np.float64(9.0), np.float64(15.0), np.float64(33.9), np.float64(28.9), np.float64(17.4), np.float64(16.5), np.float64(14.8)]",4,JPLdavies2024,79.78,102.10000000000001,0.0,1.0,127.68,119.19999999999999,1.0,79.78,0.0,1.0,127.68,119.19999999999999,1.0,0.0,Across The Pond
