season,manager,roster_id,h2h_wins,points_for,league
29,Tomcoulton10,3,8.0,1690.75,House of Hard Knocks
29,calumedwards,5,9.0,1633.58,House of Hard Knocks
29,hyperpringle,6,11.0,1753.28,House of Hard Knocks
29,splangtree,9,7.0,1632.89,House of Hard Knocks
30,0llie,4,8.0,1531.69,House of Hard Knocks
30,DanCoulton,1,12.0,1674.6,House of Hard Knocks
30,JoeWright,10,6.0,1578.65,House of Hard Knocks
30,Jonnydubz,8,5.0,1556.86,House of Hard Knocks
30,MajorNC,2,6.0,1576.9,House of Hard Knocks
30,Pindeco,7,4.0,1600.07,House of Hard Knocks
30,Tomcoulton10,3,9.0,1781.05,House of Hard Knocks
30,calumedwards,5,8.0,1525.39,House of Hard Knocks
30,hyperpringle,6,9.0,1659.3400000000001,House of Hard Knocks
30,splangtree,9,8.0,1649.94,House of Hard Knocks
31,0llie,4,7.0,1578.17,House of Hard Knocks
31,DanCoulton,1,8.0,1583.41,House of Hard Knocks
31,JoeWright,10,8.0,1565.84,House of Hard Knocks
31,Jonnydubz,8,5.0,1609.52,House of Hard Knocks
31,MajorNC,2,9.0,1635.45,House of Hard Knocks
31,Pindeco,7,5.0,1516.39,House of Hard Knocks
31,Tomcoulton10,3,10.0,1718.38,House of Hard Knocks
31,calumedwards,5,7.0,1631.46,House of Hard Knocks
31,hyperpringle,6,10.0,1609.8799999999999,House of Hard Knocks
31,splangtree,9,6.0,1613.43,House of Hard Knocks
32,0llie,4,7.0,1530.93,House of Hard Knocks
32,DanCoulton,1,7.0,1674.61,House of Hard Knocks
32,JoeWright,10,6.0,1504.1100000000001,House of Hard Knocks
32,Jonnydubz,8,7.0,1608.89,House of Hard Knocks
32,MajorNC,2,8.0,1693.51,House of Hard Knocks
32,Pindeco,7,8.0,1721.82,House of Hard Knocks
32,Tomcoulton10,3,10.0,1759.75,House of Hard Knocks
32,calumedwards,5,4.0,1564.43,House of Hard Knocks
32,hyperpringle,6,11.0,1712.48,House of Hard Knocks
32,splangtree,9,7.0,1614.28,House of Hard Knocks
33,0llie,4,7.0,1566.3,House of Hard Knocks
33,DanCoulton,1,6.0,1501.46,House of Hard Knocks
33,JoeWright,10,11.0,1628.16,House of Hard Knocks
33,Jonnydubz,8,2.0,1576.1499999999999,House of Hard Knocks
33,MajorNC,2,9.0,1661.0,House of Hard Knocks
33,Pindeco,7,9.0,1643.45,House of Hard Knocks
33,Tomcoulton10,3,10.0,1735.31,House of Hard Knocks
33,calumedwards,5,6.0,1575.29,House of Hard Knocks
33,hyperpringle,6,7.0,1589.76,House of Hard Knocks
33,splangtree,9,8.0,1703.82,House of Hard Knocks
34,0llie,4,5.0,1501.38,House of Hard Knocks
34,DanCoulton,1,12.0,1800.1299999999999,House of Hard Knocks
34,JoeWright,10,7.0,1525.04,House of Hard Knocks
34,Jonnydubz,8,8.0,1640.49,House of Hard Knocks
34,MajorNC,2,8.0,1667.55,House of Hard Knocks
34,Pindeco,7,6.0,1661.6399999999999,House of Hard Knocks
34,Tomcoulton10,3,9.0,1736.33,House of Hard Knocks
34,calumedwards,5,8.0,1678.95,House of Hard Knocks
34,hyperpringle,6,5.0,1595.34,House of Hard Knocks
34,splangtree,9,7.0,1623.02,House of Hard Knocks
35,0llie,4,6.0,1377.99,House of Hard Knocks
35,DanCoulton,1,8.0,1585.02,House of Hard Knocks
35,JoeWright,10,8.0,1646.63,House of Hard Knocks
35,Jonnydubz,8,4.0,1672.17,House of Hard Knocks
35,MajorNC,2,10.0,1653.33,House of Hard Knocks
35,Pindeco,7,6.0,1704.1100000000001,House of Hard Knocks
35,Tomcoulton10,3,11.0,1784.8899999999999,House of Hard Knocks
35,calumedwards,5,5.0,1641.3400000000001,House of Hard Knocks
35,hyperpringle,6,5.0,1526.72,House of Hard Knocks
35,splangtree,9,12.0,1766.36,House of Hard Knocks
36,0llie,4,5.0,1515.56,House of Hard Knocks
36,DanCoulton,1,10.0,1723.51,House of Hard Knocks
36,JoeWright,10,7.0,1549.97,House of Hard Knocks
36,Jonnydubz,8,10.0,1736.32,House of Hard Knocks
36,MajorNC,2,13.0,1810.03,House of Hard Knocks
36,Pindeco,7,6.0,1624.75,House of Hard Knocks
36,Tomcoulton10,3,10.0,1732.1000000000001,House of Hard Knocks
36,calumedwards,5,5.0,1531.56,House of Hard Knocks
36,hyperpringle,6,5.0,1503.1,House of Hard Knocks
36,splangtree,9,4.0,1545.67,House of Hard Knocks
37,0llie,4,6.0,1653.13,House of Hard Knocks
37,DanCoulton,1,7.0,1631.76,House of Hard Knocks
37,JoeWright,10,8.0,1627.48,House of Hard Knocks
37,Jonnydubz,8,9.0,1736.85,House of Hard Knocks
37,MajorNC,2,9.0,1633.73,House of Hard Knocks
37,Pindeco,7,6.0,1648.18,House of Hard Knocks
37,Tomcoulton10,3,9.0,1745.78,House of Hard Knocks
37,calumedwards,5,7.0,1557.35,House of Hard Knocks
37,hyperpringle,6,7.0,1554.71,House of Hard Knocks
