gameweek,roster_id,pp_points,points,manager,matchup_id,opponent_id,pp_points_opponent,points_opponent,pp_win,win,all_play,league
8,1,163.18,150.07999999999998,DanCoulton,1,4,172.26000000000002,172.26000000000002,0.0,0.0,6.0,House of Hard Knocks
8,2,172.57999999999998,171.1,MajorNC,4,3,108.06,95.16,1.0,1.0,8.0,House of Hard Knocks
8,3,108.06,95.16,Tomcoulton10,4,2,172.57999999999998,171.1,0.0,0.0,1.0,House of Hard Knocks
8,4,172.26000000000002,172.26000000000002,0llie,1,1,163.18,150.07999999999998,1.0,1.0,9.0,House of Hard Knocks
8,5,140.23999999999998,140.24,calumedwards,3,10,102.02000000000001,86.72,1.0,1.0,4.0,House of Hard Knocks
8,6,117.54,114.54,hyperpringle,2,8,153.66000000000003,147.76,0.0,0.0,3.0,House of Hard Knocks
8,7,127.32000000000001,112.32,Pindeco,5,9,189.38,169.18,0.0,0.0,2.0,House of Hard Knocks
8,8,153.66000000000003,147.76,Jonnydubz,2,6,117.54,114.54,1.0,1.0,5.0,House of Hard Knocks
8,9,189.38,169.18,splangtree,5,7,127.32000000000001,112.32,1.0,1.0,7.0,House of Hard Knocks
8,10,102.02000000000001,86.72,JoeWright,3,5,140.23999999999998,140.24,0.0,0.0,0.0,House of Hard Knocks
9,1,127.76,120.66,DanCoulton,5,10,149.5,114.96000000000001,0.0,1.0,3.0,House of Hard Knocks
9,2,198.42000000000002,180.44,MajorNC,4,7,122.47999999999999,115.88,1.0,1.0,8.0,House of Hard Knocks
9,3,196.90000000000003,196.9,Tomcoulton10,2,6,180.64,148.92,1.0,1.0,9.0,House of Hard Knocks
9,4,158.78,141.28,0llie,1,8,166.94,154.94,0.0,0.0,5.0,House of Hard Knocks
9,5,110.61999999999998,110.62,calumedwards,3,9,186.73999999999998,134.6,0.0,0.0,0.0,House of Hard Knocks
9,6,180.64,148.92,hyperpringle,2,3,196.90000000000003,196.9,0.0,0.0,6.0,House of Hard Knocks
9,7,122.47999999999999,115.88,Pindeco,4,2,198.42000000000002,180.44,0.0,0.0,2.0,House of Hard Knocks
9,8,166.94,154.94,Jonnydubz,1,4,158.78,141.28,1.0,1.0,7.0,House of Hard Knocks
9,9,186.73999999999998,134.6,splangtree,3,5,110.61999999999998,110.62,1.0,1.0,4.0,House of Hard Knocks
9,10,149.5,114.96000000000001,JoeWright,5,1,127.76,120.66,1.0,0.0,1.0,House of Hard Knocks
10,1,163.22000000000003,162.56,DanCoulton,5,8,127.32,117.82,1.0,1.0,6.0,House of Hard Knocks
10,2,141.12,139.72,MajorNC,2,5,177.50000000000003,170.54,0.0,0.0,3.0,House of Hard Knocks
10,3,172.32,155.42,Tomcoulton10,4,7,179.57999999999998,172.98,0.0,0.0,4.0,House of Hard Knocks
10,4,150.89999999999998,137.9,0llie,1,6,165.12,162.42,0.0,0.0,2.0,House of Hard Knocks
10,5,177.50000000000003,170.54,calumedwards,2,2,141.12,139.72,1.0,1.0,7.0,House of Hard Knocks
10,6,165.12,162.42,hyperpringle,1,4,150.89999999999998,137.9,1.0,1.0,5.0,House of Hard Knocks
10,7,179.57999999999998,172.98,Pindeco,4,3,172.32,155.42,1.0,1.0,8.0,House of Hard Knocks
10,8,127.32,117.82,Jonnydubz,5,1,163.22000000000003,162.56,0.0,0.0,1.0,House of Hard Knocks
10,9,197.1,197.1,splangtree,3,10,116.92,105.92,1.0,1.0,9.0,House of Hard Knocks
10,10,116.92,105.92,JoeWright,3,9,197.1,197.1,0.0,0.0,0.0,House of Hard Knocks
11,1,177.65999999999997,166.46,DanCoulton,4,9,174.76,155.26,1.0,1.0,9.0,House of Hard Knocks
11,2,108.28,108.28,MajorNC,2,6,177.84,139.42000000000002,0.0,0.0,2.0,House of Hard Knocks
11,3,174.34000000000003,151.78,Tomcoulton10,3,10,101.94000000000003,99.56,1.0,1.0,7.0,House of Hard Knocks
11,4,122.94,115.14,0llie,1,5,169.23999999999998,137.82,0.0,0.0,4.0,House of Hard Knocks
11,5,169.23999999999998,137.82,calumedwards,1,4,122.94,115.14,1.0,1.0,5.0,House of Hard Knocks
11,6,177.84,139.42000000000002,hyperpringle,2,2,108.28,108.28,1.0,1.0,6.0,House of Hard Knocks
11,7,120.71999999999998,112.2,Pindeco,5,8,115.7,102.8,1.0,1.0,3.0,House of Hard Knocks
11,8,115.7,102.8,Jonnydubz,5,7,120.71999999999998,112.2,0.0,0.0,1.0,House of Hard Knocks
11,9,174.76,155.26,splangtree,4,1,177.65999999999997,166.46,0.0,0.0,8.0,House of Hard Knocks
11,10,101.94000000000003,99.56,JoeWright,3,3,174.34000000000003,151.78,0.0,0.0,0.0,House of Hard Knocks
12,1,155.79999999999998,150.3,DanCoulton,5,3,159.89999999999998,157.12,0.0,0.0,6.0,House of Hard Knocks
12,2,150.38,150.38,MajorNC,1,4,182.14,173.04,0.0,0.0,7.0,House of Hard Knocks
12,3,159.89999999999998,157.12,Tomcoulton10,5,1,155.79999999999998,150.3,1.0,1.0,8.0,House of Hard Knocks
12,4,182.14,173.04,0llie,1,2,150.38,150.38,1.0,1.0,9.0,House of Hard Knocks
12,5,168.22,143.9,calumedwards,2,6,159.88,144.98,1.0,0.0,2.0,House of Hard Knocks
12,6,159.88,144.98,hyperpringle,2,5,168.22,143.9,0.0,1.0,4.0,House of Hard Knocks
12,7,109.52000000000001,97.30000000000001,Pindeco,3,10,150.10000000000002,147.2,0.0,0.0,1.0,House of Hard Knocks
12,8,105.12,96.52000000000001,Jonnydubz,4,9,151.10000000000002,144.1,0.0,0.0,0.0,House of Hard Knocks
12,9,151.10000000000002,144.1,splangtree,4,8,105.12,96.52000000000001,1.0,1.0,3.0,House of Hard Knocks
12,10,150.10000000000002,147.2,JoeWright,3,7,109.52000000000001,97.30000000000001,1.0,1.0,5.0,House of Hard Knocks
13,1,153.48,113.08,DanCoulton,5,7,84.26,76.26,1.0,1.0,5.0,House of Hard Knocks
13,2,129.02,104.24,MajorNC,4,8,101.6,82.34,1.0,1.0,4.0,House of Hard Knocks
13,3,160.92000000000002,142.12,Tomcoulton10,3,5,97.95999999999998,88.46000000000001,1.0,1.0,7.0,House of Hard Knocks
13,4,110.88,58.7,0llie,1,10,120.57999999999998,120.58,0.0,0.0,0.0,House of Hard Knocks
13,5,97.95999999999998,88.46000000000001,calumedwards,3,3,160.92000000000002,142.12,0.0,0.0,3.0,House of Hard Knocks
13,6,197.02,181.72,hyperpringle,2,9,168.10000000000002,152.8,1.0,1.0,9.0,House of Hard Knocks
13,7,84.26,76.26,Pindeco,5,1,153.48,113.08,0.0,0.0,1.0,House of Hard Knocks
13,8,101.6,82.34,Jonnydubz,4,2,129.02,104.24,0.0,0.0,2.0,House of Hard Knocks
13,9,168.10000000000002,152.8,splangtree,2,6,197.02,181.72,0.0,0.0,8.0,House of Hard Knocks
13,10,120.57999999999998,120.58,JoeWright,1,4,110.88,58.7,1.0,1.0,6.0,House of Hard Knocks
14,1,0.0,0.0,DanCoulton,4,2,0.0,0.0,0.5,0.5,4.5,House of Hard Knocks
14,2,0.0,0.0,MajorNC,4,1,0.0,0.0,0.5,0.5,4.5,House of Hard Knocks
14,3,0.0,0.0,Tomcoulton10,5,8,0.0,0.0,0.5,0.5,4.5,House of Hard Knocks
14,4,0.0,0.0,0llie,1,9,0.0,0.0,0.5,0.5,4.5,House of Hard Knocks
14,5,0.0,0.0,calumedwards,3,7,0.0,0.0,0.5,0.5,4.5,House of Hard Knocks
14,6,0.0,0.0,hyperpringle,2,10,0.0,0.0,0.5,0.5,4.5,House of Hard Knocks
14,7,0.0,0.0,Pindeco,3,5,0.0,0.0,0.5,0.5,4.5,House of Hard Knocks
14,8,0.0,0.0,Jonnydubz,5,3,0.0,0.0,0.5,0.5,4.5,House of Hard Knocks
14,9,0.0,0.0,splangtree,1,4,0.0,0.0,0.5,0.5,4.5,House of Hard Knocks
14,10,0.0,0.0,JoeWright,2,6,0.0,0.0,0.5,0.5,4.5,House of Hard Knocks
15,1,0.0,0.0,DanCoulton,3,5,0.0,0.0,0.5,0.5,4.5,House of Hard Knocks
15,2,0.0,0.0,MajorNC,4,9,0.0,0.0,0.5,0.5,4.5,House of Hard Knocks
15,3,0.0,0.0,Tomcoulton10,1,4,0.0,0.0,0.5,0.5,4.5,House of Hard Knocks
15,4,0.0,0.0,0llie,1,3,0.0,0.0,0.5,0.5,4.5,House of Hard Knocks
15,5,0.0,0.0,calumedwards,3,1,0.0,0.0,0.5,0.5,4.5,House of Hard Knocks
15,6,0.0,0.0,hyperpringle,2,7,0.0,0.0,0.5,0.5,4.5,House of Hard Knocks
15,7,0.0,0.0,Pindeco,2,6,0.0,0.0,0.5,0.5,4.5,House of Hard Knocks
15,8,0.0,0.0,Jonnydubz,5,10,0.0,0.0,0.5,0.5,4.5,House of Hard Knocks
15,9,0.0,0.0,splangtree,4,2,0.0,0.0,0.5,0.5,4.5,House of Hard Knocks
15,10,0.0,0.0,JoeWright,5,8,0.0,0.0,0.5,0.5,4.5,House of Hard Knocks
1,1,128.18,94.18,msouthwell,3,5,121.22,106.02,1.0,0.0,3.0,Across The Pond
1,2,141.32,117.42,jhh82,1,9,123.96,121.36,1.0,0.0,8.0,Across The Pond
1,3,65.84,62.44,Dominichudson1986,5,8,124.5,107.08,0.0,0.0,0.0,Across The Pond
1,4,106.72,84.12,DanCoulton,2,7,119.02000000000001,84.92,0.0,0.0,1.0,Across The Pond
1,5,121.22,106.02,JPLdavies2024,3,1,128.18,94.18,0.0,1.0,6.0,Across The Pond
1,6,138.86,105.75999999999999,steveoreilly7,4,10,119.32000000000001,96.12,1.0,1.0,5.0,Across The Pond
1,7,119.02000000000001,84.92,JoeWright,2,4,106.72,84.12,1.0,1.0,2.0,Across The Pond
1,8,124.5,107.08,mikepearson,5,3,65.84,62.44,1.0,1.0,7.0,Across The Pond
1,9,123.96,121.36,benturvill61,1,2,141.32,117.42,0.0,1.0,9.0,Across The Pond
1,10,119.32000000000001,96.12,WALLER79,4,6,138.86,105.75999999999999,0.0,0.0,4.0,Across The Pond
2,1,131.34000000000003,123.03999999999999,msouthwell,4,3,112.44,102.34,1.0,1.0,7.0,Across The Pond
2,2,146.38,126.88,jhh82,2,7,120.34,82.24,1.0,1.0,8.0,Across The Pond
2,3,112.44,102.34,Dominichudson1986,4,1,131.34000000000003,123.03999999999999,0.0,0.0,3.0,Across The Pond
2,4,138.39999999999998,100.1,DanCoulton,1,9,114.12,110.32000000000001,1.0,0.0,2.0,Across The Pond
2,5,118.14,105.6,JPLdavies2024,3,10,98.58,53.48,1.0,1.0,4.0,Across The Pond
2,6,145.70000000000002,117.2,steveoreilly7,5,8,138.29999999999998,130.1,1.0,0.0,6.0,Across The Pond
2,7,120.34,82.24,JoeWright,2,2,146.38,126.88,0.0,0.0,1.0,Across The Pond
2,8,138.29999999999998,130.1,mikepearson,5,6,145.70000000000002,117.2,0.0,1.0,9.0,Across The Pond
2,9,114.12,110.32000000000001,benturvill61,1,4,138.39999999999998,100.1,0.0,1.0,5.0,Across The Pond
2,10,98.58,53.48,WALLER79,3,5,118.14,105.6,0.0,0.0,0.0,Across The Pond
3,1,159.24,134.24,msouthwell,4,8,106.02,88.92,1.0,1.0,8.0,Across The Pond
3,2,117.26,109.56,jhh82,2,4,99.02,92.02,1.0,1.0,5.0,Across The Pond
3,3,164.02,144.52,Dominichudson1986,5,10,137.82,124.02,1.0,1.0,9.0,Across The Pond
